PA,PitchofPA,Batter,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,Angle,Direction,Distance,PlateLocHeight,PlateLocSide,PitchCall,TaggedHitType,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,PitcherThrows,ExitSpeed,RelSpeed,is_single,is_double,is_triple,is_home_run
,5,"Caulfield, Garen",1.0,3.0,Undefined,Fastball,Out,62.569429,15.419469,,1.98274,0.04633,InPlay,Popup,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20241004-UArizona-Private-1,Right,85.66502,89.20887,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Fastball,Single,11.610955,10.427969,219.476,3.06867,-0.20889,InPlay,LineDrive,1.0,1.0,1.0,1.0,,140.0,0,0,0,,0.0,20241005-UArizona-Private-1,Right,105.68055,88.91896,True,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,2.86499,-0.76484,StrikeSwinging,Undefined,,,,1.0,1.0,140.0,0,0,0,,0.0,20241005-UArizona-Private-1,Right,,79.00103,False,False,False,False
,2,"Caulfield, Garen",1.0,0.0,Undefined,Fastball,Out,-1.047471,24.76262,47.02909,2.93441,-0.00011,InPlay,GroundBall,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20241005-UArizona-Private-1,Right,95.73963,89.8005,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,ChangeUp,Undefined,,,,0.88671,-1.433,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241005-UArizona-Private-1,Right,,78.5923,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,ChangeUp,Undefined,,,,1.64097,-0.87547,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241005-UArizona-Private-1,Right,,77.58321,False,False,False,False
,3,"Caulfield, Garen",1.0,1.0,Undefined,Fastball,Undefined,,,,1.2215,-1.31217,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241005-UArizona-Private-1,Right,,88.85455,False,False,False,False
,4,"Caulfield, Garen",1.0,2.0,Undefined,Fastball,Out,,,,3.0436,-0.01351,InPlay,GroundBall,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20241005-UArizona-Private-1,Right,,88.44868,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Curveball,Undefined,,,,1.27323,-0.23427,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241011-UArizona-Private-2,Right,,82.78953,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,Undefined,,,,4.51228,0.12692,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241011-UArizona-Private-2,Right,,95.25658,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,Slider,Undefined,,,,3.34617,-0.04861,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241011-UArizona-Private-2,Right,,87.92472,False,False,False,False
