PA,PitchofPA,Batter,TaggedPitchType,PlayResult,Angle,Direction,AdjustedDirection,Distance,PlateLocHeight,PlateLocSide,CountType,PitchCall,ExitSpeed,KorBB,PositionAt110X,PositionAt110Y,PositionAt110Z,PitcherThrows,TaggedHitType,ContactPositionX,ContactPositionY,ContactPositionZ,swing,whiff,RelSpeed
,2,"Caulfield, Garen",Fastball,Out,-1.047471,24.76262,-24.76262,47.02909,2.93441,-0.00011,Neutral Count,InPlay,95.73963,Undefined,,,,Right,GroundBall,0.69227,2.66934,-0.12668,1.0,,89.8005
1.0,1,"Caulfield, Garen",ChangeUp,Undefined,,,,,0.88671,-1.433,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,78.5923
,2,"Caulfield, Garen",ChangeUp,Undefined,,,,,1.64097,-0.87547,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,77.58321
,3,"Caulfield, Garen",Fastball,Undefined,,,,,1.2215,-1.31217,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,88.85455
,4,"Caulfield, Garen",Fastball,Out,,,,,3.0436,-0.01351,Hitter's Count,InPlay,,Undefined,,,,Right,GroundBall,,,,1.0,,88.44868
1.0,1,"Caulfield, Garen",Curveball,Undefined,,,,,1.27323,-0.23427,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,82.78953
,2,"Caulfield, Garen",Fastball,Undefined,,,,,4.51228,0.12692,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,95.25658
,3,"Caulfield, Garen",Slider,Undefined,,,,,3.34617,-0.04861,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,87.92472
,4,"Caulfield, Garen",Slider,Undefined,,,,,2.69338,-0.97952,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,88.06994
,5,"Caulfield, Garen",Slider,Single,-2.227883,-3.108514,3.108514,36.7328,2.8812,-0.58426,Pitcher's Count,InPlay,105.13571,Undefined,,,,Right,GroundBall,1.75574,2.83607,0.54807,1.0,,87.49138
1.0,1,"Caulfield, Garen",ChangeUp,Undefined,,,,,0.95819,-1.07456,0-0 Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,80.48328
,2,"Caulfield, Garen",Fastball,Undefined,,,,,3.68157,-0.49386,Neutral Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,87.27157
,3,"Caulfield, Garen",Slider,Undefined,,,,,1.5344,0.52376,Hitter's Count,StrikeCalled,,Undefined,,,,Left,Undefined,,,,,,78.68514
,4,"Caulfield, Garen",ChangeUp,Undefined,,,,,3.52438,-1.63552,Hitter's Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,79.58599
,5,"Caulfield, Garen",Fastball,Undefined,,,,,1.75328,-1.19396,Hitter's Count,StrikeCalled,,Undefined,,,,Left,Undefined,,,,,,87.82447
,6,"Caulfield, Garen",Slider,Double,18.674736,-17.312827,17.312827,399.28208,1.106,-0.02532,Full Count,InPlay,108.93135,Undefined,104.2462,33.15267,-35.10918,Left,LineDrive,2.79764,1.58402,0.14936,1.0,,77.50824
1.0,1,"Caulfield, Garen",Sinker,Undefined,,,,,4.0397,1.97773,0-0 Count,HitByPitch,,Undefined,,,,Right,Undefined,,,,,,88.23174
1.0,1,"Caulfield, Garen",Sinker,Undefined,,,,,3.03771,-2.12385,0-0 Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,85.62337
,2,"Caulfield, Garen",Slider,Undefined,,,,,2.83697,-3.46608,Neutral Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,75.10852
,3,"Caulfield, Garen",Sinker,Undefined,,,,,3.36898,-2.66407,Hitter's Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,86.27279
,4,"Caulfield, Garen",Sinker,Undefined,,,,,2.24695,0.13209,Hitter's Count,StrikeCalled,,Undefined,,,,Left,Undefined,,,,,,85.49437
,5,"Caulfield, Garen",Sinker,Undefined,,,,,1.85014,1.02198,Hitter's Count,BallCalled,,Walk,,,,Left,Undefined,,,,,,86.44325
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.57876,0.63736,0-0 Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,76.70177
,2,"Caulfield, Garen",Sinker,HomeRun,26.488065,27.29772,-27.29772,372.51379,2.42922,-0.86455,Neutral Count,InPlay,99.76223,Undefined,94.23232,50.80894,56.74733,Left,FlyBall,0.8213,2.69807,0.827,1.0,,86.57126
1.0,1,"Caulfield, Garen",Sinker,Undefined,,,,,1.01184,-1.03382,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.20092
,2,"Caulfield, Garen",Sinker,Undefined,,,,,1.25976,-0.76762,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.79073
,3,"Caulfield, Garen",Sinker,Out,17.191498,-14.595218,14.595218,334.45955,2.09097,0.66155,Hitter's Count,InPlay,101.29215,Undefined,107.05541,29.24791,-25.28117,Right,LineDrive,1.94993,1.92672,-0.63243,1.0,,91.83987
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,0.42486,-2.00857,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,79.8858
,2,"Caulfield, Garen",Fastball,Undefined,,,,,3.34202,-0.13425,Neutral Count,StrikeSwinging,,Undefined,,,,Right,Undefined,,,,1.0,1.0,91.7909
,3,"Caulfield, Garen",Fastball,Undefined,,,,,1.88666,-1.64316,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,92.17888
,4,"Caulfield, Garen",Sinker,Out,-13.057653,11.901112,-11.901112,7.92667,1.64094,-1.12165,Hitter's Count,InPlay,90.13686,Undefined,,,,Right,GroundBall,1.09722,1.52686,1.09086,1.0,,91.48604
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,4.32906,1.76597,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,90.29845
,2,"Caulfield, Garen",Slider,Out,42.69481,2.061732,-2.061732,282.2932,3.11539,0.21182,Neutral Count,InPlay,90.56567,Undefined,109.60223,93.22169,9.34433,Right,Popup,1.3621,2.76887,-0.22413,1.0,,75.76658
1.0,1,"Caulfield, Garen",Curveball,Double,25.842998,-0.749129,0.749129,402.8061,2.11856,0.15141,0-0 Count,InPlay,102.6053,Undefined,109.96169,49.01539,2.89138,Right,FlyBall,1.63286,1.99336,-0.17087,1.0,,78.03241
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,1.75306,-2.39984,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,90.90256
,2,"Caulfield, Garen",Fastball,Undefined,,,,,1.9638,-1.62563,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,90.86239
,3,"Caulfield, Garen",ChangeUp,Undefined,,,,,3.38766,0.852,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,81.68853
